from,to,weight,appName
SRV20,SRVLX408,762,Green
SRV103,SRVBD197,615,Green
SRV103,SRVLX408,762,Green
SRVAPP1004,SRVLX408,762,Green
SRVAPP1005,SRVLX408,762,Green
SRVAPP1009,SRVLX408,762,Green
SRVAPP1012,SRVAPP814,581,Green
SRVAPP1012,SRVLX408,1400,Green
SRVAPP108,SRVLX408,762,Green
SRVAPP128,SRVLX408,762,Green
SRVAPP153,SRVLX408,762,Green
SRVAPP161,SRVAPP704,2011,Green
SRVAPP161,SRVBD73,1112,Green
SRVAPP161,SRVLX408,762,Green
SRVAPP162,SRVAPP901,1572,Green
SRVAPP176,SRVLX408,762,Green
SRVAPP177,SRVAPP176,8861,Green
SRVAPP177,SRVLX408,760,Green
SRVAPP208,SRVLX408,763,Green
SRVAPP214,SRVLX408,762,Green
SRVAPP24,SRVLX408,762,Green
SRVAPP277,SRVLX408,762,Green
SRVAPP298NEW,SRVLX408,762,Green
SRVAPP299,SRVLX450,762,Blue
SRVAPP318,SRVAPP319,2576,Blue
SRVAPP318,SRVLX450,725,Blue
SRVAPP322,SRVLX450,740,Blue
SRVAPP325,SRVLX450,750,Blue
SRVAPP326,SRVLX450,739,Blue
SRVAPP327,SRVLX450,733,Blue
SRVAPP328,SRVLX450,707,Blue
SRVAPP336,SRVLX450,763,Blue
SRVAPP341,SRVLX450,763,Blue
SRVAPP36,SRVLX450,753,Blue
SRVAPP37,SRVLX450,759,Blue
SRVAPP396,SRVLX450,759,Blue
SRVAPP397,SRVLX450,762,Blue
SRVAPP398,SRVBD50,8198,Red
SRVAPP398,SRVLX450,762,Red
SRVAPP399,SRVLX450,760,Red
SRVAPP402,SRVLX450,618,Red
SRVAPP405,SRVBD50,3748,Red
SRVAPP405,SRVLX450,762,Red
SRVAPP407,SRVBD118,2565,Blue
SRVAPP407,SRVLX450,762,Blue
SRVAPP416,SRVLX450,732,Red
SRVAPP418,SRVLX450,758,Red
SRVAPP420,SRVLX450,578,Red
SRVAPP422,SRVLX450,616,Red
SRVAPP422,SRVBD197,1200,Green
SRVAPP325,SRVBD197,1600,Green
SRVAPP399,SRVBD197,3000,Green
