from,to,weight,tag
[10.56.122.122],[10.56.122.91],5,BTG
10.56.113.207,10.56.122.91,1647,BTG
10.56.113.207,10.56.122.91,743,BTG
10.56.113.208,10.56.122.91,1558,BTG
10.56.113.208,10.56.122.91,862,BTG
10.56.113.209,10.56.122.91,1132,BTG
10.56.113.209,10.56.122.91,1307,BTG
10.56.122.122,10.56.122.91,12,BTG
10.56.122.122,10.56.122.91,3,BTG
10.56.119.59,10.56.122.91,11,BTG
10.56.119.59,10.56.122.91,13,BTG
10.56.119.60,10.56.122.91,6,BTG
10.56.119.60,10.56.122.91,19,BTG
10.56.122.70,10.56.122.91,190,BTG
10.56.122.70,10.56.122.91,71,BTG
10.56.122.70,10.56.122.91,75,BTG
10.56.119.59,10.156.131.120,1,EC2-Apache-Prod
10.56.119.59,10.156.131.120,1,EC2-Apache-Prod
10.56.119.60,10.156.131.120,1,EC2-Apache-Prod
10.56.122.175,10.156.131.120,4,EC2-Apache-Prod
10.56.119.59,10.156.133.100,1,FW_ZONE_B2
10.56.119.60,10.156.133.100,1,FW_ZONE_B2
10.56.119.60,10.156.133.100,2,FW_ZONE_B2
10.56.119.59,10.156.133.197,2,FW_ZONE_D2
10.56.119.60,10.156.133.197,2,FW_ZONE_D2
10.193.249.11,10.56.119.230,314,L02427PAPP0
10.193.249.11,10.56.119.230,4,L02427PAPP0
10.193.249.11,10.56.119.230,215,L02427PAPP0
10.56.122.122,10.56.119.230,4,L02427PAPP0
10.56.122.68,10.56.119.230,20,L02427PAPP0
10.56.87.71,10.56.119.230,1,L02427PAPP0
10.56.119.59,10.56.119.230,3,L02427PAPP0
10.56.119.59,10.56.119.230,4,L02427PAPP0
10.56.119.60,10.56.119.230,1,L02427PAPP0
10.56.119.60,10.56.119.230,3,L02427PAPP0
10.56.122.70,10.56.119.230,48,L02427PAPP0
10.56.122.70,10.56.119.230,130,L02427PAPP0
10.56.122.70,10.56.119.230,72,L02427PAPP0
10.56.122.70,10.56.119.230,71,L02427PAPP0
10.156.15.140,10.56.119.195,31,L02633PAPP0
10.156.15.140,10.56.119.195,1,L02633PAPP0
10.193.249.11,10.56.119.195,3,L02633PAPP0
10.193.249.11,10.56.119.195,328,L02633PAPP0
10.56.122.122,10.56.119.195,14,L02633PAPP0
10.56.87.71,10.56.119.195,1,L02633PAPP0
10.56.87.71,10.56.119.195,1,L02633PAPP0
10.56.87.71,10.56.119.195,4,L02633PAPP0
10.156.15.140,10.56.119.195,8,L02633PAPP0
10.156.15.140,10.56.119.195,9,L02633PAPP0
10.156.15.140,10.56.119.195,2,L02633PAPP0
10.156.15.140,10.56.119.195,9,L02633PAPP0
10.156.15.83,10.56.119.195,12,L02633PAPP0
10.156.15.83,10.56.119.195,2,L02633PAPP0
10.156.15.83,10.56.119.195,10,L02633PAPP0
10.156.15.83,10.56.119.195,2,L02633PAPP0
10.156.15.83,10.56.119.195,47,L02633PAPP0
10.56.0.86,10.56.119.195,1,L02633PAPP0
10.56.122.122,10.56.119.195,4,L02633PAPP0
10.56.122.122,10.56.119.195,9,L02633PAPP0
10.56.122.122,10.56.119.195,1,L02633PAPP0
10.56.8.16,10.56.119.195,3,L02633PAPP0
10.56.8.16,10.56.119.195,22,L02633PAPP0
10.56.8.57,10.56.119.195,37,L02633PAPP0
10.56.8.57,10.56.119.195,8,L02633PAPP0
10.56.8.57,10.56.119.195,3,L02633PAPP0
10.56.8.57,10.56.119.195,4,L02633PAPP0
10.56.119.59,10.56.119.195,15,L02633PAPP0
10.56.119.59,10.56.119.195,16,L02633PAPP0
10.56.119.60,10.56.119.195,12,L02633PAPP0
10.56.119.60,10.56.119.195,27,L02633PAPP0
10.56.122.70,10.56.119.195,192,L02633PAPP0
10.56.122.70,10.56.119.195,200,L02633PAPP0
10.56.122.70,10.56.119.195,80,L02633PAPP0
10.56.122.70,10.56.119.195,60,L02633PAPP0
10.56.119.195,10.56.119.62,1,L02694PAPP0
10.56.119.195,10.56.119.62,1,L02694PAPP0
10.193.249.11,10.56.119.62,2,L02694PAPP0
10.193.249.11,10.56.119.62,8,L02694PAPP0
10.193.249.11,10.56.119.62,182,L02694PAPP0
10.193.249.11,10.56.119.62,1,L02694PAPP0
10.193.249.11,10.56.119.62,139,L02694PAPP0
10.56.122.122,10.56.119.62,3,L02694PAPP0
10.56.122.68,10.56.119.62,36,L02694PAPP0
10.56.87.71,10.56.119.62,1,L02694PAPP0
10.56.87.71,10.56.119.62,2,L02694PAPP0
10.56.87.71,10.56.119.62,1,L02694PAPP0
10.56.87.71,10.56.119.62,5,L02694PAPP0
10.56.119.59,10.56.119.62,2,L02694PAPP0
10.56.119.59,10.56.119.62,2,L02694PAPP0
10.56.119.60,10.56.119.62,1,L02694PAPP0
10.56.119.60,10.56.119.62,3,L02694PAPP0
10.56.122.127,10.56.119.62,58,L02694PAPP0
10.56.122.127,10.56.119.62,15,L02694PAPP0
10.56.122.127,10.56.119.62,5,L02694PAPP0
10.56.122.136,10.56.119.62,1,L02694PAPP0
10.56.122.136,10.56.119.62,1,L02694PAPP0
10.56.122.136,10.56.119.62,1,L02694PAPP0
10.56.122.175,10.56.119.62,3,L02694PAPP0
10.56.122.70,10.56.119.62,124,L02694PAPP0
10.56.122.70,10.56.119.62,204,L02694PAPP0
10.56.122.70,10.56.119.62,76,L02694PAPP0
10.56.122.70,10.56.119.62,70,L02694PAPP0
10.56.119.195,10.56.119.63,1,L02701PAPP0
10.56.119.195,10.56.119.63,1,L02701PAPP0
10.56.119.195,10.56.119.63,1,L02701PAPP0
10.193.249.11,10.56.119.63,3,L02701PAPP0
10.193.249.11,10.56.119.63,226,L02701PAPP0
10.56.122.122,10.56.119.63,2,L02701PAPP0
10.56.122.122,10.56.119.63,1,L02701PAPP0
10.56.122.68,10.56.119.63,34,L02701PAPP0
10.56.87.71,10.56.119.63,1,L02701PAPP0
10.56.87.71,10.56.119.63,1,L02701PAPP0
10.56.119.59,10.56.119.63,2,L02701PAPP0
10.56.119.59,10.56.119.63,1,L02701PAPP0
10.56.119.60,10.56.119.63,3,L02701PAPP0
10.56.119.60,10.56.119.63,4,L02701PAPP0
10.56.122.134,10.56.119.63,1,L02701PAPP0
10.56.122.175,10.56.119.63,3,L02701PAPP0
10.56.122.70,10.56.119.63,91,L02701PAPP0
10.56.122.70,10.56.119.63,171,L02701PAPP0
10.56.122.70,10.56.119.63,74,L02701PAPP0
10.56.122.70,10.56.119.63,74,L02701PAPP0
10.193.249.11,10.56.119.49,296,L03021PAPP0
10.193.249.11,10.56.119.49,2,L03021PAPP0
10.193.249.11,10.56.119.49,1,L03021PAPP0
10.193.249.11,10.56.119.49,3,L03021PAPP0
10.193.249.11,10.56.119.49,122,L03021PAPP0
