Row Labels;Sum of weight
BTG;1858
L03331PAPP01;1858
EbMl-env;26
W03900PMBX0;26
EbMl-env_0000000002;7
W03900PMBX0;7
EbObol-env;2
W03900PMBX0;2
EbObol-env_0000000002;2
W03900PMBX0;2
EbtWeb-env;8
W03900PMBX0;8
EbtWeb-env_0000000002;9
W03900PMBX0;9
FW_ZONE_B2;244
W00571PAPP0;244
FW_ZONE_D2;263
W00572PAPP0;263
L02427PAPP0;1
W03900PMBX0;1
L02633PAPP0;1130
L02694PAPP0;2
L02701PAPP0;3
L03074PAPP0;4
L03331PAPP01;2
L03455PAPP0;3
L04014PAPP0;1
L04067PAPP0;1
L04134PAPP0;1
L04160PAPP0;2
L05374PORA0;1
L05528PNOD1;8
L05528PNOD2;6
L05820PAPP0;2
L05918PAPP0;2
L05984PSQL0;1
L05997PORA0;7
L05998PORA0;8
L06023PAPPO;2
L06036PAPP0;3
L06100PAPP0;3
L06284PAPP0;4
L06387PAPP0;40
L06392PAPP0;1
L06514PAPP0;3
NSCL116PNMG;2
NSCL139PAPP;1
NSCL169PFAP;1
W00571PAPP0;1
W00875DFLE0;1
W00928PFLE0;2
W01345PAPP0;1
W01605PAPP0;51
W01608PNOD1;2
W01725UAPP0;1
W02130PAPP0;2
W02283PAPP0;1
W02369PAPP0;1
W02475PAPP0;1
W02476PAPP0;2
W02509PAPP0;1
W02510PAPP1;2
W02763PAPP1;1
W02764PNOD2;5
W02764PNOD3;2
W02824PAPP0;5
W02825PNOD1;5
W02825PNOD2;1
W02894QNOD1;2
W02894QNOD2;8
W02896QAPP0;1
W02952QNOD1;2
W02954QAPP0;2
W02975PAPP0;2
W03014PAPP0;7
W03022PNOD1;6
W03022PNOD2;4
W03060PAPP0;1
W03066UAPP0;1
W03072USQL0;2
W03073PNOD1;7
W03095PNOD1;7
W03095PNOD2;3
W03097PAPP0;187
W03108QAPP0;2
W03110QNOD1;1
W03125DAPP0;1
W03156PNOD1;1
W03156PNOD2;6
W03158PAPP0;243
W03191DNOD2;6
W03328PSQL0;2
W03330DAPP0;5
W03453PNOD1;10
W03453PNOD2;6
W03866QNOD1;14
W03869PNOD1;6
W03869PNOD2;2
W03900PMBX0;54
W04013PSQL0;1
W04158PAPP0;1
W04181PNOD1;11
W04181PNOD2;6
W04197PAPP0;1
W04227QAPP0;1
W04228QSQL0;1
W04238QNOD1;7
W04251QNOD1;1
W04251QNOD2;1
W05004PNOD1;5
W05010PAPP0;1
W05012PAPP0;1
W05013PAPP0;1
W05049PBKP0;1
W05053PNOD1;16
W05053PNOD2;1
W05054PNOD1;20
W05093QAPP0;1
W05094QNOD1;13
W05094QNOD2;1
W05095QNOD2;39
W05115PNOD1;1
W05115PNOD2;6
W05245QNOD2;26
W05247PNOD1;1
W05247PNOD2;4
W05251PAPP0;1
W05263PAPP0;1
W05359PCXW0;108
W05360PCXW0;1
W05416PPSC0;1
W05581QSQL0;1
W05639QNOD1;1
W05640QAPP0;1
W05641QAPP0;2
W05686PNOD1;15
W05782PAPP0;1
W05815QAPP0;1
W05816QSQL0;1
W05934QAPP0;1
W05986PAPP0;1
W06064QAPP0;1
W06065QAPP0;1
W06178PFLE0;1
W06297QNOD1;1
W06297QNOD2;1
W06451PNCE0;1
W06545PNOD1;15
L02694PAPP0;2475
L05528PNOD1;304
L05528PNOD2;103
L05997PORA0;103
NSCL169PFAP;405
W00707PFLE0;344
W02764PNOD2;13
W03095PNOD1;340
W03900PMBX0;724
W05004PNOD1;132
W05686PNOD1;7
L02701PAPP0;991
NSCL169PFAP;367
W00707PFLE0;314
W03095PNOD1;310
L04011PAPP0;1281
W03900PMBX0;1281
L04067PAPP0;950
W00707PFLE0;352
Weblogic-12-Auto;357
Weblogic-12-Auto_0000000002;241
L04160PAPP0;14
W02872PAPP0;14
L05374PORA0;4
L05528PNOD1;2
L05528PNOD2;2
L05528PNOD1;6289
L05374PORA0;1473
L05528PNOD1;3650
L05528PNOD2;1069
W03900PMBX0;97
L05528PNOD2;5743
L05374PORA0;1308
L05528PNOD1;2315
L05528PNOD2;1727
L05997PORA0;300
W03900PMBX0;93
L05820PAPP0;803
L05997PORA0;467
W00707PFLE0;336
L05997PORA0;2485
L05998PORA0;2485
L05998PORA0;4
L05997PORA0;4
L06036PAPP0;2213
L05528PNOD1;919
L05528PNOD2;979
W03022PNOD1;315
Ml-UAT-env;1
L04011PAPP0;1
NSCL047PMBX;81
NSCL169PFAP;2
W00707PFLE0;79
NSCL114DWSS;9
NSCL169PFAP;2
W00707PFLE0;2
W00928PFLE0;1
W05691PAPP0;3
W06178PFLE0;1
NSCL115PNMG;1904
NSCL116PNMG;1620
W05691PAPP0;2
W06791PAPP0;282
NSCL116PNMG;264
W06791PAPP0;264
NSCL138PAPP;3638
L05528PNOD1;1622
L05528PNOD2;1279
L05827PAPP0;2
L06036PAPP0;24
NSCL169PFAP;2
W00707PFLE0;18
W02764PNOD2;545
W02825PNOD1;3
W03900PMBX0;17
W04181PNOD1;126
NSCL139PAPP;3742
L05528PNOD1;1300
L05528PNOD2;1383
L05827PAPP0;4
L06036PAPP0;14
NSCL169PFAP;3
W00707PFLE0;14
W02764PNOD2;583
W02825PNOD1;3
W03900PMBX0;21
W04181PNOD1;8
W05691PAPP0;2
W06791PAPP0;407
NSCL169PFAP;389
W00707PFLE0;5
W06791PAPP0;384
S03018PAPP0;24202
S03019PAPP0;24202
S03019PAPP0;23755
S03018PAPP0;23755
TEM-VDI-WIN11;154
NSCL169PFAP;9
VDI-CL-TI-0024;58
VDI-CL-TI-0037;59
VDI-CL-TI-0062;9
W00707PFLE0;9
W05416PPSC0;10
TEMPBCM-W2K16S;3
W05416PPSC0;3
TEMPLATE-TIT-2K;168
W05416PPSC0;2
W06791PAPP0;166
VDI-CL-TI-0024;5974
TEM-VDI-WIN11;37
VDI-CL-TI-0037;8
VDI-CL-TI-0062;2
W00875DFLE0;223
W02763PAPP1;11
W02820DAPP0;315
W03209DAPP0;350
W03210DSQL0;3254
W03211DSQL0;33
W03212DAPP0;10
W03537QSQL0;1055
W03804QAPP0;10
W05262PAPP0;3
W05691PAPP0;3
W05911PCXW0;196
W05912PCXW0;144
W06791PAPP0;320
VDI-CL-TI-0037;980
L05997PORA0;3
NSCL047PMBX;3
NSCL169PFAP;276
TEM-VDI-WIN11;26
VDI-CL-TI-0024;3
VDI-CL-TI-0062;13
W00707PFLE0;223
W02764PNOD2;33
W05895PSQL0;3
W06791PAPP0;397
VDI-CL-TI-0062;729
TEM-VDI-WIN11;29
VDI-CL-TI-0024;3
VDI-CL-TI-0037;12
W05262PAPP0;1
W05912PCXW0;251
W06791PAPP0;433
W00571PAPP0;272730
BTG;24
EC2-Apache-Prod;2
FW_ZONE_B2;1
FW_ZONE_D2;2
L02427PAPP0;7
L02633PAPP0;31
L02694PAPP0;4
L02701PAPP0;3
L03074PAPP0;12
L03075PAPP0;2
L03087PAPP0;4
L03331PAPP01;1
L03455PAPP0;4
L03456PAPP0;3
L04014PAPP0;2
L04067PAPP0;5
L04134PAPP0;17
L04160PAPP0;1
L05113PAPP0;1
L05463PAPP0;8
L05526PAPP0;5
L05528PNOD1;10
L05528PNOD2;7
L05820PAPP0;4
L05827PAPP0;3
L05918PAPP0;2
L05984PSQL0;3
L05997PORA0;2
L05998PORA0;2
L06023PAPPO;1
L06036PAPP0;2
L06100PAPP0;1
L06284PAPP0;2
L06326PAPP0;134
L06387PAPP0;1
L06392PAPP0;1
L06514PAPP0;2
L06689EAPP0;1
L06780PAPP0;1
NSCL047PMBX;341
NSCL114DWSS;358
NSCL115PNMG;56
NSCL116PNMG;300
NSCL138PAPP;148
NSCL139PAPP;232
NSCL169PFAP;277
S02969PAPP0;3
S03018PAPP0;1
S03019PAPP0;2
TEM-VDI-WIN11;268
TEMPBCM-W2K16S;149
TEMPLATE-TIT-2K;239
