from,to,weight
192.168.83.16,54.68.97.123,1
192.168.83.16,54.68.97.123,3
192.168.83.16,192.168.81.11,1
192.168.83.16,192.168.81.10,1
192.168.83.16,44.225.240.147,2
192.168.83.16,44.225.240.147,4
192.168.83.16,23.222.252.70,115
192.168.83.16,95.101.88.93,78
192.168.83.16,192.168.10.6,5
192.168.83.16,34.205.5.9,1
192.168.83.16,34.203.45.194,963
192.168.83.16,34.203.45.194,5
192.168.83.16,34.205.5.31,1
192.168.83.16,64.39.104.113,1
192.168.83.16,64.39.104.113,72
192.168.83.16,64.39.104.113,2
192.168.83.16,64.39.104.113,10
192.168.83.16,34.205.5.8,2
192.168.83.16,34.205.5.8,3
192.168.83.16,2.20.52.70,20
192.168.83.16,23.60.80.75,3
192.168.83.16,34.205.5.31,3
192.168.83.16,192.168.83.10,963
192.168.83.16,192.168.83.11,963
192.168.83.16,34.205.5.8,1
192.168.83.16,34.205.5.9,2
192.168.83.16,2.20.52.70,6
192.168.83.16,23.208.127.76,1
192.168.83.16,23.222.252.70,77
192.168.83.16,44.225.240.147,1
192.168.83.16,54.68.97.123,3
192.168.83.16,64.39.104.113,2
192.168.83.16,95.101.88.93,60
192.168.83.16,192.168.83.11,1
192.168.83.16,23.222.252.70,1
192.168.83.16,34.205.5.8,3
192.168.83.16,34.205.5.9,4
192.168.83.16,44.225.240.147,1
192.168.83.16,54.68.97.123,4
192.168.83.16,64.39.104.113,9
192.168.83.16,64.39.104.113,4
192.168.83.16,192.168.10.6,2
192.168.83.16,64.39.104.113,34
20.1.1.213,20.1.1.151,68
20.1.1.213,20.1.1.151,6
20.1.1.213,20.1.1.151,19
20.1.1.213,169.254.169.254,2
20.1.1.213,20.1.1.151,4
20.1.1.213,169.254.169.254,1
20.1.1.213,20.1.1.151,3
192.168.94.16,44.225.240.147,5
192.168.94.16,44.225.240.147,8
192.168.94.16,192.168.10.6,2
192.168.94.16,54.208.106.230,255
192.168.94.16,54.208.106.230,1
192.168.94.16,52.6.19.160,210
192.168.94.16,52.6.19.160,1
192.168.94.16,34.205.5.31,2
192.168.94.16,34.205.5.31,2
192.168.94.16,100.80.35.3,1
192.168.94.16,64.39.104.113,30
192.168.94.16,2.20.52.70,19
192.168.94.16,64.39.104.113,5
192.168.94.16,95.101.88.93,78
192.168.94.16,192.168.82.55,557
192.168.94.16,34.205.5.9,1
192.168.94.16,34.205.5.9,2
192.168.94.16,64.39.104.113,5
192.168.94.16,192.168.10.6,1
192.168.94.16,23.222.252.70,78
192.168.94.16,209.132.178.16,2
192.168.94.16,209.132.178.16,1
192.168.94.16,54.68.97.123,3
192.168.94.16,54.68.97.123,9
192.168.94.16,23.60.80.75,1
192.168.94.16,34.205.5.8,1
192.168.94.16,52.6.19.160,492
192.168.94.16,2.20.52.70,8
192.168.94.16,23.222.252.70,75
192.168.94.16,23.60.80.75,1
192.168.94.16,54.68.97.123,1
192.168.94.16,64.39.104.113,6
192.168.94.16,95.101.88.93,46
192.168.94.16,192.168.82.55,432
192.168.94.16,34.205.5.31,1
192.168.94.16,34.205.5.8,3
192.168.94.16,44.225.240.147,4
192.168.94.16,52.6.19.160,3
192.168.94.16,54.68.97.123,4
192.168.94.16,64.39.104.113,5
192.168.94.16,192.168.10.6,1
192.168.94.16,64.39.104.113,21
20.1.1.173,20.1.1.151,11
20.1.1.173,20.1.1.151,3
20.1.1.173,20.1.1.151,4
20.1.1.173,169.254.169.254,1
192.168.76.216,64.39.104.113,36
192.168.76.216,34.205.5.8,1
192.168.76.216,104.16.185.241,1
192.168.76.216,20.1.1.152,10
192.168.76.216,34.205.5.9,1
192.168.76.216,23.60.80.75,1
192.168.76.216,192.168.77.211,2
192.168.76.216,54.165.185.17,315
192.168.76.216,54.165.185.17,2
192.168.76.216,34.205.5.9,4
192.168.76.216,192.168.77.211,1
192.168.76.216,64.39.104.113,20
192.168.76.216,23.222.252.70,115
192.168.76.216,192.168.10.6,3
192.168.76.216,34.205.5.8,5
192.168.76.216,95.101.88.93,53
192.168.76.216,192.168.10.6,1
192.168.76.216,192.168.14.21,8
192.168.76.216,192.168.10.6,52
192.168.76.216,192.168.77.210,2898
192.168.76.216,34.205.5.31,1
192.168.76.216,34.205.5.31,1
192.168.76.216,2.20.52.70,15
192.168.76.216,64.39.104.113,15
192.168.76.216,192.168.77.210,1932
192.168.76.216,34.205.5.31,1
192.168.76.216,52.206.208.21,651
192.168.76.216,2.20.52.70,9
192.168.76.216,23.222.252.70,68
192.168.76.216,23.60.80.75,1
192.168.76.216,64.39.104.113,3
192.168.76.216,95.101.88.93,57
192.168.76.216,192.168.10.6,2
192.168.76.216,34.205.5.9,5
192.168.76.216,52.206.208.21,8
192.168.76.216,64.39.104.113,5
192.168.76.216,95.101.88.93,2
192.168.76.216,192.168.10.6,40
192.168.76.216,192.168.14.21,6
192.168.76.216,20.1.1.152,3
192.168.76.216,64.39.104.113,19
192.168.81.10,192.168.10.13,49203
192.168.81.10,23.222.252.70,36
192.168.81.10,64.39.104.113,29
192.168.81.10,23.60.80.75,3
192.168.81.10,23.222.252.70,1
192.168.81.10,192.168.10.6,1
192.168.81.10,192.168.10.6,3
192.168.81.10,34.205.5.8,1
192.168.81.10,192.168.83.11,7
192.168.81.10,192.168.83.11,1070
192.168.81.10,192.168.83.10,8
192.168.81.10,192.168.83.10,1041
192.168.81.10,95.101.88.93,45
192.168.81.10,192.168.83.11,34
192.168.81.10,34.205.5.9,2
192.168.81.10,34.205.5.9,1
192.168.81.10,2.20.52.70,12
192.168.81.10,34.205.5.31,1
192.168.81.10,34.205.5.31,1
192.168.81.10,192.168.83.10,42
192.168.81.10,64.39.104.113,1
192.168.81.10,192.168.81.249,2483
192.168.81.10,192.168.10.6,1
192.168.81.10,34.205.5.31,1
192.168.81.10,34.205.5.9,1
192.168.81.10,34.227.134.223,552
192.168.81.10,192.168.83.10,815
192.168.81.10,192.168.83.11,752
192.168.81.10,2.20.52.70,18
192.168.81.10,23.222.252.70,44
192.168.81.10,23.60.80.75,2
192.168.81.10,64.39.104.113,2
192.168.81.10,95.101.88.93,10
192.168.81.10,192.168.83.10,1
