groupType,groupName,protocol,initiatingDeviceName,initiatingIpAddress,initiatingPort,serviceName,receivingDeviceName,receivingIpAddress,receivingPort,connectionCount
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,192.168.83.16,33236,off,Unscanned Device,54.68.97.123,443,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,192.168.83.16,33236,on,Unscanned Device,54.68.97.123,443,3
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,192.168.83.16,35267,timewait,Unscanned Device,192.168.81.11,8080,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,192.168.83.16,38212,timewait,Unscanned Device,192.168.81.10,8080,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,192.168.83.16,38575,off,Unscanned Device,44.225.240.147,443,2
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,192.168.83.16,38575,on,Unscanned Device,44.225.240.147,443,4
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,192.168.83.16,39764,off,Unscanned Device,23.222.252.70,443,115
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,192.168.83.16,40343,off,Unscanned Device,95.101.88.93,443,78
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,192.168.83.16,40793,timewait,Unscanned Device,192.168.10.6,10051,5
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,192.168.83.16,41239,keepalive,Unscanned Device,34.205.5.9,443,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,192.168.83.16,42075,keepalive,Unscanned Device,34.203.45.194,443,963
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,192.168.83.16,42075,on,Unscanned Device,34.203.45.194,443,5
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,192.168.83.16,42796,keepalive,Unscanned Device,34.205.5.31,443,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,192.168.83.16,42941,probe,Unscanned Device,64.39.104.113,443,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,192.168.83.16,43214,timewait,Unscanned Device,64.39.104.113,443,72
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,192.168.83.16,43574,off,Unscanned Device,64.39.104.113,443,2
