groupType,groupName,protocol,initiatingDeviceName,initiatingIpAddress,initiatingPort,serviceName,receivingDeviceName,receivingIpAddress,receivingPort,connectionCount
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,42366,,L03331PAPP01,10.56.119.95,5432,574
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,42618,timewait,L03331PAPP01,10.56.119.95,5432,24
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,44360,on,L03331PAPP01,10.56.119.95,5432,5
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,45820,keepalive,L03331PAPP01,10.56.119.95,5432,534
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,dynamic,,L03331PAPP01,10.56.119.95,5432,367
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,dynamic,keepalive,L03331PAPP01,10.56.119.95,5432,336
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,dynamic,on,L03331PAPP01,10.56.119.95,5432,4
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,dynamic,timewait,L03331PAPP01,10.56.119.95,5432,14
Assessment,BTG_Produccion,TCP,EbMl-env,10.156.131.96,38822,System Idle Process,W03900PMBX0,10.56.122.166,25,18
Assessment,BTG_Produccion,TCP,EbMl-env,10.156.131.96,41356,inetinfo.exe,W03900PMBX0,10.56.122.166,25,4
Assessment,BTG_Produccion,TCP,EbMl-env,10.156.131.96,dynamic,System Idle Process,W03900PMBX0,10.56.122.166,25,4
Assessment,BTG_Produccion,TCP,EbMl-env_0000000002,10.156.131.248,35700,System Idle Process,W03900PMBX0,10.56.122.166,25,2
Assessment,BTG_Produccion,TCP,EbMl-env_0000000002,10.156.131.248,48594,inetinfo.exe,W03900PMBX0,10.56.122.166,25,2
Assessment,BTG_Produccion,TCP,EbMl-env_0000000002,10.156.131.248,dynamic,inetinfo.exe,W03900PMBX0,10.56.122.166,25,2
Assessment,BTG_Produccion,TCP,EbMl-env_0000000002,10.156.131.248,dynamic,System Idle Process,W03900PMBX0,10.56.122.166,25,1
Assessment,BTG_Produccion,TCP,EbObol-env,10.156.131.58,35496,System Idle Process,W03900PMBX0,10.56.122.166,25,2
Assessment,BTG_Produccion,TCP,EbObol-env_0000000002,10.156.131.251,39050,System Idle Process,W03900PMBX0,10.56.122.166,25,1
Assessment,BTG_Produccion,TCP,EbObol-env_0000000002,10.156.131.251,dynamic,System Idle Process,W03900PMBX0,10.56.122.166,25,1
Assessment,BTG_Produccion,TCP,EbtWeb-env,10.156.131.48,39316,inetinfo.exe,W03900PMBX0,10.56.122.166,25,1
Assessment,BTG_Produccion,TCP,EbtWeb-env,10.156.131.48,43764,System Idle Process,W03900PMBX0,10.56.122.166,25,5
Assessment,BTG_Produccion,TCP,EbtWeb-env,10.156.131.48,dynamic,inetinfo.exe,W03900PMBX0,10.56.122.166,25,1
Assessment,BTG_Produccion,TCP,EbtWeb-env,10.156.131.48,dynamic,System Idle Process,W03900PMBX0,10.56.122.166,25,1
Assessment,BTG_Produccion,TCP,EbtWeb-env_0000000002,10.156.131.229,44904,inetinfo.exe,W03900PMBX0,10.56.122.166,25,2
Assessment,BTG_Produccion,TCP,EbtWeb-env_0000000002,10.156.131.229,44910,System Idle Process,W03900PMBX0,10.56.122.166,25,5
Assessment,BTG_Produccion,TCP,EbtWeb-env_0000000002,10.156.131.229,dynamic,inetinfo.exe,W03900PMBX0,10.56.122.166,25,1
Assessment,BTG_Produccion,TCP,EbtWeb-env_0000000002,10.156.131.229,dynamic,System Idle Process,W03900PMBX0,10.56.122.166,25,1
Assessment,BTG_Produccion,TCP,FW_ZONE_B2,10.156.133.100,46076,UaService.exe,W00571PAPP0,10.56.119.59,5007,202
