groupType,groupName,protocol,initiatingDeviceName,initiatingIpAddress,initiatingPort,serviceName,receivingDeviceName,receivingIpAddress,receivingPort,connectionCount
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,32924,nscp.exe,W04227QAPP0,10.156.24.168,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,33886,on,W05640QAPP0,10.156.28.100,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,33918,nscp.exe,W03108QAPP0,10.156.24.129,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,34098,on,W02952QNOD1,10.156.24.146,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,34812,off,W05095QNOD2,10.156.28.51,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,34974,nscp.exe,W05245QNOD2,10.156.28.89,5666,2
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,35432,off,W05094QNOD1,10.156.28.45,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,35846,off,W05095QNOD2,10.156.28.55,5666,2
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,36666,on,W03330DAPP0,10.156.26.95,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,37256,off,W03330DAPP0,10.156.26.95,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,37814,on,W02896QAPP0,10.156.28.11,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,38282,nscp.exe,W05095QNOD2,10.156.28.54,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,38458,off,W05245QNOD2,10.156.28.85,5666,2
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,39358,off,W05095QNOD2,10.156.28.53,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,39902,on,W05095QNOD2,10.156.28.53,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,40200,off,W02894QNOD2,10.156.28.14,5666,2
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,40374,off,W04228QSQL0,10.156.24.169,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,40832,on,W01725UAPP0,10.156.24.90,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,41120,nscp.exe,W05094QNOD1,10.156.28.45,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,41458,off,W04238QNOD1,10.156.24.173,5666,3
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,42162,nscp.exe,W03125DAPP0,10.156.26.78,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,42210,nscp.exe,W05815QAPP0,10.156.28.137,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,42314,nscp.exe,W05245QNOD2,10.156.28.87,5666,5
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,42446,on,W02894QNOD2,10.156.28.14,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,43268,on,W00875DFLE0,10.156.26.17,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,43300,off,W05245QNOD2,10.156.28.87,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,43358,nscp.exe,W02894QNOD2,10.156.28.14,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,43366,off,W04251QNOD1,10.156.24.178,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,43402,nscp.exe,W04238QNOD1,10.156.24.173,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,43592,nscp.exe,W03866QNOD1,10.156.24.161,5666,4
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,43606,nscp.exe,W03191DNOD2,10.156.26.90,5666,3
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,43662,off,W05094QNOD1,10.156.28.48,5666,2
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,43936,on,W05245QNOD2,10.156.28.88,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,44536,nscp.exe,W05095QNOD2,10.156.28.55,5666,3
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,44660,on,W02894QNOD2,10.156.28.18,5666,1
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,44670,nscp.exe,W05095QNOD2,10.156.28.51,5666,5
Assessment,BTG_UAT,TCP,L02633PAPP0,10.56.119.195,44904,nscp.exe,W05245QNOD2,10.156.28.85,5666,1
