from,to,weight
BTG,L03331PAPP01,574
BTG,L03331PAPP01,24
BTG,L03331PAPP01,5
BTG,L03331PAPP01,534
BTG,L03331PAPP01,367
BTG,L03331PAPP01,336
BTG,L03331PAPP01,4
BTG,L03331PAPP01,14
EbMl-env,W03900PMBX0,18
EbMl-env,W03900PMBX0,4
EbMl-env,W03900PMBX0,4
EbMl-env_0000000002,W03900PMBX0,2
EbMl-env_0000000002,W03900PMBX0,2
EbMl-env_0000000002,W03900PMBX0,2
EbMl-env_0000000002,W03900PMBX0,1
EbObol-env,W03900PMBX0,2
EbObol-env_0000000002,W03900PMBX0,1
EbObol-env_0000000002,W03900PMBX0,1
EbtWeb-env,W03900PMBX0,1
EbtWeb-env,W03900PMBX0,5
EbtWeb-env,W03900PMBX0,1
EbtWeb-env,W03900PMBX0,1
EbtWeb-env_0000000002,W03900PMBX0,2
EbtWeb-env_0000000002,W03900PMBX0,5
EbtWeb-env_0000000002,W03900PMBX0,1
EbtWeb-env_0000000002,W03900PMBX0,1
FW_ZONE_B2,W00571PAPP0,202
FW_ZONE_B2,W00571PAPP0,42
FW_ZONE_D2,W00572PAPP0,84
FW_ZONE_D2,W00572PAPP0,179
L02427PAPP0,W03900PMBX0,1
L02633PAPP0,L02694PAPP0,1
L02633PAPP0,L02694PAPP0,1
L02633PAPP0,L02701PAPP0,1
L02633PAPP0,L02701PAPP0,1
L02633PAPP0,L02701PAPP0,1
L02633PAPP0,L03074PAPP0,1
L02633PAPP0,L03074PAPP0,2
L02633PAPP0,L03074PAPP0,1
L02633PAPP0,L03331PAPP01,1
L02633PAPP0,L03331PAPP01,1
L02633PAPP0,L03455PAPP0,1
L02633PAPP0,L03455PAPP0,1
L02633PAPP0,L03455PAPP0,1
L02633PAPP0,L04014PAPP0,1
L02633PAPP0,L04067PAPP0,1
L02633PAPP0,L04134PAPP0,1
L02633PAPP0,L04160PAPP0,1
L02633PAPP0,L04160PAPP0,1
L02633PAPP0,L05374PORA0,1
L02633PAPP0,L05528PNOD1,2
L02633PAPP0,L05528PNOD1,1
L02633PAPP0,L05528PNOD1,2
L02633PAPP0,L05528PNOD1,3
L02633PAPP0,L05528PNOD2,1
L02633PAPP0,L05528PNOD2,1
L02633PAPP0,L05528PNOD2,1
L02633PAPP0,L05528PNOD2,2
L02633PAPP0,L05528PNOD2,1
L02633PAPP0,L05820PAPP0,1
L02633PAPP0,L05820PAPP0,1
L02633PAPP0,L05918PAPP0,1
L02633PAPP0,L05918PAPP0,1
L02633PAPP0,L05984PSQL0,1
L02633PAPP0,L05997PORA0,2
L02633PAPP0,L05997PORA0,1
L02633PAPP0,L05997PORA0,1
L02633PAPP0,L05997PORA0,3
L02633PAPP0,L05998PORA0,1
L02633PAPP0,L05998PORA0,1
L02633PAPP0,L05998PORA0,1
L02633PAPP0,L05998PORA0,2
L02633PAPP0,L05998PORA0,1
L02633PAPP0,L05998PORA0,1
L02633PAPP0,L05998PORA0,1
L02633PAPP0,L06023PAPPO,1
L02633PAPP0,L06023PAPPO,1
L02633PAPP0,L06036PAPP0,1
L02633PAPP0,L06036PAPP0,1
L02633PAPP0,L06036PAPP0,1
L02633PAPP0,L06100PAPP0,1
L02633PAPP0,L06100PAPP0,1
L02633PAPP0,L06100PAPP0,1
L02633PAPP0,L06284PAPP0,1
L02633PAPP0,L06284PAPP0,1
L02633PAPP0,L06284PAPP0,1
L02633PAPP0,L06284PAPP0,1
L02633PAPP0,L06387PAPP0,24
L02633PAPP0,L06387PAPP0,2
L02633PAPP0,L06387PAPP0,14
L02633PAPP0,L06392PAPP0,1
L02633PAPP0,L06514PAPP0,1
L02633PAPP0,L06514PAPP0,1
L02633PAPP0,L06514PAPP0,1
L02633PAPP0,NSCL116PNMG,1
L02633PAPP0,NSCL116PNMG,1
L02633PAPP0,NSCL139PAPP,1
L02633PAPP0,NSCL169PFAP,1
L02633PAPP0,W00571PAPP0,1
L02633PAPP0,W00875DFLE0,1
L02633PAPP0,W00928PFLE0,1
L02633PAPP0,W00928PFLE0,1
L02633PAPP0,W01345PAPP0,1
L02633PAPP0,W01605PAPP0,22
L02633PAPP0,W01605PAPP0,1
L02633PAPP0,W01605PAPP0,28
L02633PAPP0,W01608PNOD1,1
L02633PAPP0,W01608PNOD1,1
L02633PAPP0,W01725UAPP0,1
L02633PAPP0,W02130PAPP0,1
L02633PAPP0,W02130PAPP0,1
L02633PAPP0,W02283PAPP0,1
L02633PAPP0,W02369PAPP0,1
L02633PAPP0,W02475PAPP0,1
L02633PAPP0,W02476PAPP0,1
L02633PAPP0,W02476PAPP0,1
L02633PAPP0,W02509PAPP0,1
L02633PAPP0,W02510PAPP1,1
L02633PAPP0,W02510PAPP1,1
L02633PAPP0,W02763PAPP1,1
L02633PAPP0,W02764PNOD2,2
L02633PAPP0,W02764PNOD2,1
L02633PAPP0,W02764PNOD2,1
L02633PAPP0,W02764PNOD2,1
L02633PAPP0,W02764PNOD3,1
L02633PAPP0,W02764PNOD3,1
L02633PAPP0,W02824PAPP0,1
L02633PAPP0,W02824PAPP0,2
L02633PAPP0,W02824PAPP0,1
L02633PAPP0,W02824PAPP0,1
L02633PAPP0,W02825PNOD1,1
L02633PAPP0,W02825PNOD1,1
L02633PAPP0,W02825PNOD1,1
L02633PAPP0,W02825PNOD1,1
L02633PAPP0,W02825PNOD1,1
L02633PAPP0,W02825PNOD2,1
L02633PAPP0,W02894QNOD1,1
L02633PAPP0,W02894QNOD1,1
L02633PAPP0,W02894QNOD2,2
L02633PAPP0,W02894QNOD2,1
L02633PAPP0,W02894QNOD2,1
L02633PAPP0,W02894QNOD2,1
L02633PAPP0,W02894QNOD2,1
L02633PAPP0,W02894QNOD2,1
L02633PAPP0,W02894QNOD2,1
L02633PAPP0,W02896QAPP0,1
L02633PAPP0,W02952QNOD1,1
L02633PAPP0,W02952QNOD1,1
L02633PAPP0,W02954QAPP0,1
L02633PAPP0,W02954QAPP0,1
L02633PAPP0,W02975PAPP0,1
L02633PAPP0,W02975PAPP0,1
L02633PAPP0,W03014PAPP0,1
L02633PAPP0,W03014PAPP0,2
L02633PAPP0,W03014PAPP0,2
L02633PAPP0,W03014PAPP0,2
L02633PAPP0,W03022PNOD1,2
L02633PAPP0,W03022PNOD1,1
L02633PAPP0,W03022PNOD1,2
L02633PAPP0,W03022PNOD1,1
L02633PAPP0,W03022PNOD2,1
