groupType,groupName,protocol,initiatingDeviceName,initiatingIpAddress,initiatingPort,serviceName,receivingDeviceName,receivingIpAddress,receivingPort,connectionCount
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,33662,probe,L03331PAPP01,10.56.119.95,5432,2
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,42366,,L03331PAPP01,10.56.119.95,5432,35
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,42618,timewait,L03331PAPP01,10.56.119.95,5432,1
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,44360,on,L03331PAPP01,10.56.119.95,5432,3
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,45820,keepalive,L03331PAPP01,10.56.119.95,5432,36
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,dynamic,,L03331PAPP01,10.56.119.95,5432,30
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,dynamic,keepalive,L03331PAPP01,10.56.119.95,5432,32
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,dynamic,on,L03331PAPP01,10.56.119.95,5432,1
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,dynamic,probe,L03331PAPP01,10.56.119.95,5432,1
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,dynamic,timewait,L03331PAPP01,10.56.119.95,5432,1
Assessment,BTG_Produccion,TCP,EbMl-env,10.156.131.96,38822,System Idle Process,W03900PMBX0,10.56.122.166,25,18
Assessment,BTG_Produccion,TCP,EbMl-env,10.156.131.96,41356,inetinfo.exe,W03900PMBX0,10.56.122.166,25,4
Assessment,BTG_Produccion,TCP,EbMl-env,10.156.131.96,dynamic,System Idle Process,W03900PMBX0,10.56.122.166,25,4
Assessment,BTG_Produccion,TCP,EbMl-env_0000000002,10.156.131.248,35700,System Idle Process,W03900PMBX0,10.56.122.166,25,2
Assessment,BTG_Produccion,TCP,EbMl-env_0000000002,10.156.131.248,48594,inetinfo.exe,W03900PMBX0,10.56.122.166,25,2
Assessment,BTG_Produccion,TCP,EbMl-env_0000000002,10.156.131.248,dynamic,inetinfo.exe,W03900PMBX0,10.56.122.166,25,2
Assessment,BTG_Produccion,TCP,EbMl-env_0000000002,10.156.131.248,dynamic,System Idle Process,W03900PMBX0,10.56.122.166,25,1
Assessment,BTG_Produccion,TCP,EbObol-env,10.156.131.58,35496,System Idle Process,W03900PMBX0,10.56.122.166,25,1
Assessment,BTG_Produccion,TCP,EbObol-env,10.156.131.58,47810,inetinfo.exe,W03900PMBX0,10.56.122.166,25,1
Assessment,BTG_Produccion,TCP,EbObol-env,10.156.131.58,dynamic,System Idle Process,W03900PMBX0,10.56.122.166,25,1
Assessment,BTG_Produccion,TCP,EbObol-env_0000000002,10.156.131.251,39050,System Idle Process,W03900PMBX0,10.56.122.166,25,2
Assessment,BTG_Produccion,TCP,EbObol-env_0000000002,10.156.131.251,dynamic,System Idle Process,W03900PMBX0,10.56.122.166,25,1
Assessment,BTG_Produccion,TCP6,Ebtmelold-env,10.156.131.59,31018,timewait,IP-10-156-131-120,10.156.131.120,80,29
