from,to,weight
BR-ADMIEXDMGR,54.68.97.123,1
BR-ADMIEXDMGR,54.68.97.123,3
BR-ADMIEXDMGR,192.168.81.11,1
BR-ADMIEXDMGR,192.168.81.10,1
BR-ADMIEXDMGR,44.225.240.147,2
BR-ADMIEXDMGR,44.225.240.147,4
BR-ADMIEXDMGR,23.222.252.70,115
BR-ADMIEXDMGR,95.101.88.93,78
BR-ADMIEXDMGR,192.168.10.6,5
BR-ADMIEXDMGR,34.205.5.9,1
BR-ADMIEXDMGR,34.203.45.194,963
BR-ADMIEXDMGR,34.203.45.194,5
BR-ADMIEXDMGR,34.205.5.31,1
BR-ADMIEXDMGR,64.39.104.113,1
BR-ADMIEXDMGR,64.39.104.113,72
BR-ADMIEXDMGR,64.39.104.113,2
BR-ADMIEXDMGR,64.39.104.113,10
BR-ADMIEXDMGR,34.205.5.8,2
BR-ADMIEXDMGR,34.205.5.8,3
BR-ADMIEXDMGR,2.20.52.70,20
BR-ADMIEXDMGR,23.60.80.75,3
BR-ADMIEXDMGR,34.205.5.31,3
BR-ADMIEXDMGR,192.168.83.10,963
BR-ADMIEXDMGR,192.168.83.11,963
BR-ADMIEXDMGR,34.205.5.8,1
BR-ADMIEXDMGR,34.205.5.9,2
BR-ADMIEXDMGR,2.20.52.70,6
BR-ADMIEXDMGR,23.208.127.76,1
BR-ADMIEXDMGR,23.222.252.70,77
BR-ADMIEXDMGR,44.225.240.147,1
BR-ADMIEXDMGR,54.68.97.123,3
BR-ADMIEXDMGR,64.39.104.113,2
BR-ADMIEXDMGR,95.101.88.93,60
BR-ADMIEXDMGR,192.168.83.11,1
BR-ADMIEXDMGR,23.222.252.70,1
BR-ADMIEXDMGR,34.205.5.8,3
BR-ADMIEXDMGR,34.205.5.9,4
BR-ADMIEXDMGR,44.225.240.147,1
BR-ADMIEXDMGR,54.68.97.123,4
BR-ADMIEXDMGR,64.39.104.113,9
BR-ADMIEXDMGR,64.39.104.113,4
BR-ADMIEXDMGR,192.168.10.6,2
BR-ADMIEXDMGR,64.39.104.113,34
BR-ADMIEXDMGR,20.1.1.151,68
BR-ADMIEXDMGR,20.1.1.151,6
BR-ADMIEXDMGR,20.1.1.151,19
BR-ADMIEXDMGR,169.254.169.254,2
BR-ADMIEXDMGR,20.1.1.151,4
BR-ADMIEXDMGR,169.254.169.254,1
BR-ADMIEXDMGR,20.1.1.151,3
BR-ADMIEXDMGRD,44.225.240.147,5
BR-ADMIEXDMGRD,44.225.240.147,8
BR-ADMIEXDMGRD,192.168.10.6,2
BR-ADMIEXDMGRD,54.208.106.230,255
BR-ADMIEXDMGRD,54.208.106.230,1
BR-ADMIEXDMGRD,52.6.19.160,210
BR-ADMIEXDMGRD,52.6.19.160,1
BR-ADMIEXDMGRD,34.205.5.31,2
BR-ADMIEXDMGRD,34.205.5.31,2
BR-ADMIEXDMGRD,100.80.35.3,1
BR-ADMIEXDMGRD,64.39.104.113,30
BR-ADMIEXDMGRD,2.20.52.70,19
BR-ADMIEXDMGRD,64.39.104.113,5
BR-ADMIEXDMGRD,95.101.88.93,78
BR-ADMIEXDMGRD,192.168.82.55,557
BR-ADMIEXDMGRD,34.205.5.9,1
BR-ADMIEXDMGRD,34.205.5.9,2
BR-ADMIEXDMGRD,64.39.104.113,5
BR-ADMIEXDMGRD,192.168.10.6,1
BR-ADMIEXDMGRD,23.222.252.70,78
BR-ADMIEXDMGRD,209.132.178.16,2
BR-ADMIEXDMGRD,209.132.178.16,1
BR-ADMIEXDMGRD,54.68.97.123,3
BR-ADMIEXDMGRD,54.68.97.123,9
BR-ADMIEXDMGRD,23.60.80.75,1
BR-ADMIEXDMGRD,34.205.5.8,1
BR-ADMIEXDMGRD,52.6.19.160,492
BR-ADMIEXDMGRD,2.20.52.70,8
BR-ADMIEXDMGRD,23.222.252.70,75
BR-ADMIEXDMGRD,23.60.80.75,1
BR-ADMIEXDMGRD,54.68.97.123,1
BR-ADMIEXDMGRD,64.39.104.113,6
BR-ADMIEXDMGRD,95.101.88.93,46
BR-ADMIEXDMGRD,192.168.82.55,432
BR-ADMIEXDMGRD,34.205.5.31,1
BR-ADMIEXDMGRD,34.205.5.8,3
BR-ADMIEXDMGRD,44.225.240.147,4
BR-ADMIEXDMGRD,52.6.19.160,3
BR-ADMIEXDMGRD,54.68.97.123,4
BR-ADMIEXDMGRD,64.39.104.113,5
BR-ADMIEXDMGRD,192.168.10.6,1
BR-ADMIEXDMGRD,64.39.104.113,21
BR-ADMIEXDMGRD,20.1.1.151,11
BR-ADMIEXDMGRD,20.1.1.151,3
BR-ADMIEXDMGRD,20.1.1.151,4
BR-ADMIEXDMGRD,169.254.169.254,1
BR-ADMIEXDMGRP,64.39.104.113,36
BR-ADMIEXDMGRP,34.205.5.8,1
BR-ADMIEXDMGRP,104.16.185.241,1
BR-ADMIEXDMGRP,20.1.1.152,10
BR-ADMIEXDMGRP,34.205.5.9,1
BR-ADMIEXDMGRP,23.60.80.75,1
BR-ADMIEXDMGRP,192.168.77.211,2
BR-ADMIEXDMGRP,54.165.185.17,315
BR-ADMIEXDMGRP,54.165.185.17,2
BR-ADMIEXDMGRP,34.205.5.9,4
BR-ADMIEXDMGRP,192.168.77.211,1
BR-ADMIEXDMGRP,64.39.104.113,20
BR-ADMIEXDMGRP,23.222.252.70,115
BR-ADMIEXDMGRP,192.168.10.6,3
BR-ADMIEXDMGRP,34.205.5.8,5
BR-ADMIEXDMGRP,95.101.88.93,53
BR-ADMIEXDMGRP,192.168.10.6,1
BR-ADMIEXDMGRP,192.168.14.21,8
BR-ADMIEXDMGRP,192.168.10.6,52
BR-ADMIEXDMGRP,192.168.77.210,2898
BR-ADMIEXDMGRP,34.205.5.31,1
BR-ADMIEXDMGRP,34.205.5.31,1
BR-ADMIEXDMGRP,2.20.52.70,15
BR-ADMIEXDMGRP,64.39.104.113,15
BR-ADMIEXDMGRP,192.168.77.210,1932
BR-ADMIEXDMGRP,34.205.5.31,1
BR-ADMIEXDMGRP,52.206.208.21,651
BR-ADMIEXDMGRP,2.20.52.70,9
BR-ADMIEXDMGRP,23.222.252.70,68
BR-ADMIEXDMGRP,23.60.80.75,1
BR-ADMIEXDMGRP,64.39.104.113,3
BR-ADMIEXDMGRP,95.101.88.93,57
BR-ADMIEXDMGRP,192.168.10.6,2
BR-ADMIEXDMGRP,34.205.5.9,5
BR-ADMIEXDMGRP,52.206.208.21,8
BR-ADMIEXDMGRP,64.39.104.113,5
BR-ADMIEXDMGRP,95.101.88.93,2
BR-ADMIEXDMGRP,192.168.10.6,40
BR-ADMIEXDMGRP,192.168.14.21,6
BR-ADMIEXDMGRP,20.1.1.152,3
BR-ADMIEXDMGRP,64.39.104.113,19
BR-ADMIEXIHS01,192.168.10.13,49203
BR-ADMIEXIHS01,23.222.252.70,36
BR-ADMIEXIHS01,64.39.104.113,29
BR-ADMIEXIHS01,23.60.80.75,3
BR-ADMIEXIHS01,23.222.252.70,1
BR-ADMIEXIHS01,192.168.10.6,1
BR-ADMIEXIHS01,192.168.10.6,3
BR-ADMIEXIHS01,34.205.5.8,1
BR-ADMIEXIHS01,192.168.83.11,7
BR-ADMIEXIHS01,192.168.83.11,1070
BR-ADMIEXIHS01,192.168.83.10,8
BR-ADMIEXIHS01,192.168.83.10,1041
BR-ADMIEXIHS01,95.101.88.93,45
BR-ADMIEXIHS01,192.168.83.11,34
BR-ADMIEXIHS01,34.205.5.9,2
