from,to,weight
BR-ADMIEXDMGR,Unscanned-Device,1
BR-ADMIEXDMGR,Unscanned-Device,3
BR-ADMIEXDMGR,Unscanned-Device,1
BR-ADMIEXDMGR,Unscanned-Device,1
BR-ADMIEXDMGR,Unscanned-Device,2
BR-ADMIEXDMGR,Unscanned-Device,4
BR-ADMIEXDMGR,Unscanned-Device,115
BR-ADMIEXDMGR,Unscanned-Device,78
BR-ADMIEXDMGR,Unscanned-Device,5
BR-ADMIEXDMGR,Unscanned-Device,1
BR-ADMIEXDMGR,Unscanned-Device,963
BR-ADMIEXDMGR,Unscanned-Device,5
BR-ADMIEXDMGR,Unscanned-Device,1
BR-ADMIEXDMGR,Unscanned-Device,1
BR-ADMIEXDMGR,Unscanned-Device,72
BR-ADMIEXDMGR,Unscanned-Device,2
BR-ADMIEXDMGR,Unscanned-Device,10
BR-ADMIEXDMGR,Unscanned-Device,2
BR-ADMIEXDMGR,Unscanned-Device,3
BR-ADMIEXDMGR,Unscanned-Device,20
BR-ADMIEXDMGR,Unscanned-Device,3
BR-ADMIEXDMGR,Unscanned-Device,3
BR-ADMIEXDMGR,Unscanned-Device,963
BR-ADMIEXDMGR,Unscanned-Device,963
BR-ADMIEXDMGR,Unscanned-Device,1
BR-ADMIEXDMGR,Unscanned-Device,2
BR-ADMIEXDMGR,Unscanned-Device,6
BR-ADMIEXDMGR,Unscanned-Device,1
BR-ADMIEXDMGR,Unscanned-Device,77
BR-ADMIEXDMGR,Unscanned-Device,1
BR-ADMIEXDMGR,Unscanned-Device,3
BR-ADMIEXDMGR,Unscanned-Device,2
BR-ADMIEXDMGR,Unscanned-Device,60
BR-ADMIEXDMGR,Unscanned-Device,1
BR-ADMIEXDMGR,Unscanned-Device,1
BR-ADMIEXDMGR,Unscanned-Device,3
BR-ADMIEXDMGR,Unscanned-Device,4
BR-ADMIEXDMGR,Unscanned-Device,1
BR-ADMIEXDMGR,Unscanned-Device,4
BR-ADMIEXDMGR,Unscanned-Device,9
BR-ADMIEXDMGR,Unscanned-Device,4
BR-ADMIEXDMGR,Unscanned-Device,2
BR-ADMIEXDMGR,Unscanned-Device,34
BR-ADMIEXDMGR,Unscanned-Device,68
BR-ADMIEXDMGR,Unscanned-Device,6
BR-ADMIEXDMGR,Unscanned-Device,19
BR-ADMIEXDMGR,Unscanned-Device,2
BR-ADMIEXDMGR,Unscanned-Device,4
BR-ADMIEXDMGR,Unscanned-Device,1
BR-ADMIEXDMGR,Unscanned-Device,3
BR-ADMIEXDMGRD,Unscanned-Device,5
BR-ADMIEXDMGRD,Unscanned-Device,8
BR-ADMIEXDMGRD,Unscanned-Device,2
BR-ADMIEXDMGRD,Unscanned-Device,255
BR-ADMIEXDMGRD,Unscanned-Device,1
BR-ADMIEXDMGRD,Unscanned-Device,210
BR-ADMIEXDMGRD,Unscanned-Device,1
BR-ADMIEXDMGRD,Unscanned-Device,2
BR-ADMIEXDMGRD,Unscanned-Device,2
BR-ADMIEXDMGRD,Unscanned-Device,1
BR-ADMIEXDMGRD,Unscanned-Device,30
BR-ADMIEXDMGRD,Unscanned-Device,19
BR-ADMIEXDMGRD,Unscanned-Device,5
BR-ADMIEXDMGRD,Unscanned-Device,78
BR-ADMIEXDMGRD,Unscanned-Device,557
BR-ADMIEXDMGRD,Unscanned-Device,1
BR-ADMIEXDMGRD,Unscanned-Device,2
BR-ADMIEXDMGRD,Unscanned-Device,5
BR-ADMIEXDMGRD,Unscanned-Device,1
BR-ADMIEXDMGRD,Unscanned-Device,78
BR-ADMIEXDMGRD,Unscanned-Device,2
BR-ADMIEXDMGRD,Unscanned-Device,1
BR-ADMIEXDMGRD,Unscanned-Device,3
BR-ADMIEXDMGRD,Unscanned-Device,9
BR-ADMIEXDMGRD,Unscanned-Device,1
BR-ADMIEXDMGRD,Unscanned-Device,1
BR-ADMIEXDMGRD,Unscanned-Device,492
BR-ADMIEXDMGRD,Unscanned-Device,8
BR-ADMIEXDMGRD,Unscanned-Device,75
BR-ADMIEXDMGRD,Unscanned-Device,1
BR-ADMIEXDMGRD,Unscanned-Device,1
BR-ADMIEXDMGRD,Unscanned-Device,6
BR-ADMIEXDMGRD,Unscanned-Device,46
BR-ADMIEXDMGRD,Unscanned-Device,432
BR-ADMIEXDMGRD,Unscanned-Device,1
BR-ADMIEXDMGRD,Unscanned-Device,3
BR-ADMIEXDMGRD,Unscanned-Device,4
BR-ADMIEXDMGRD,Unscanned-Device,3
BR-ADMIEXDMGRD,Unscanned-Device,4
BR-ADMIEXDMGRD,Unscanned-Device,5
BR-ADMIEXDMGRD,Unscanned-Device,1
BR-ADMIEXDMGRD,Unscanned-Device,21
BR-ADMIEXDMGRD,Unscanned-Device,11
BR-ADMIEXDMGRD,Unscanned-Device,3
BR-ADMIEXDMGRD,Unscanned-Device,4
BR-ADMIEXDMGRD,Unscanned-Device,1
BR-ADMIEXDMGRP,Unscanned-Device,36
BR-ADMIEXDMGRP,Unscanned-Device,1
BR-ADMIEXDMGRP,Unscanned-Device,1
BR-ADMIEXDMGRP,Unscanned-Device,10
BR-ADMIEXDMGRP,Unscanned-Device,1
BR-ADMIEXDMGRP,Unscanned-Device,1
BR-ADMIEXDMGRP,Unscanned-Device,2
BR-ADMIEXDMGRP,Unscanned-Device,315
BR-ADMIEXDMGRP,Unscanned-Device,2
BR-ADMIEXDMGRP,Unscanned-Device,4
BR-ADMIEXDMGRP,Unscanned-Device,1
BR-ADMIEXDMGRP,Unscanned-Device,20
BR-ADMIEXDMGRP,Unscanned-Device,115
BR-ADMIEXDMGRP,Unscanned-Device,3
BR-ADMIEXDMGRP,Unscanned-Device,5
BR-ADMIEXDMGRP,Unscanned-Device,53
BR-ADMIEXDMGRP,Unscanned-Device,1
BR-ADMIEXDMGRP,Unscanned-Device,8
BR-ADMIEXDMGRP,Unscanned-Device,52
BR-ADMIEXDMGRP,Unscanned-Device,2898
BR-ADMIEXDMGRP,Unscanned-Device,1
BR-ADMIEXDMGRP,Unscanned-Device,1
BR-ADMIEXDMGRP,Unscanned-Device,15
BR-ADMIEXDMGRP,Unscanned-Device,15
BR-ADMIEXDMGRP,Unscanned-Device,1932
BR-ADMIEXDMGRP,Unscanned-Device,1
BR-ADMIEXDMGRP,Unscanned-Device,651
BR-ADMIEXDMGRP,Unscanned-Device,9
BR-ADMIEXDMGRP,Unscanned-Device,68
BR-ADMIEXDMGRP,Unscanned-Device,1
BR-ADMIEXDMGRP,Unscanned-Device,3
BR-ADMIEXDMGRP,Unscanned-Device,57
BR-ADMIEXDMGRP,Unscanned-Device,2
BR-ADMIEXDMGRP,Unscanned-Device,5
BR-ADMIEXDMGRP,Unscanned-Device,8
BR-ADMIEXDMGRP,Unscanned-Device,5
BR-ADMIEXDMGRP,Unscanned-Device,2
BR-ADMIEXDMGRP,Unscanned-Device,40
BR-ADMIEXDMGRP,Unscanned-Device,6
BR-ADMIEXDMGRP,Unscanned-Device,3
BR-ADMIEXDMGRP,Unscanned-Device,19
BR-ADMIEXIHS01,Unscanned-Device,49203
BR-ADMIEXIHS01,Unscanned-Device,36
BR-ADMIEXIHS01,Unscanned-Device,29
BR-ADMIEXIHS01,Unscanned-Device,3
BR-ADMIEXIHS01,Unscanned-Device,1
BR-ADMIEXIHS01,Unscanned-Device,1
BR-ADMIEXIHS01,Unscanned-Device,3
BR-ADMIEXIHS01,Unscanned-Device,1
BR-ADMIEXIHS01,Unscanned-Device,7
BR-ADMIEXIHS01,Unscanned-Device,1070
BR-ADMIEXIHS01,Unscanned-Device,8
BR-ADMIEXIHS01,Unscanned-Device,1041
BR-ADMIEXIHS01,Unscanned-Device,45
BR-ADMIEXIHS01,Unscanned-Device,34
BR-ADMIEXIHS01,Unscanned-Device,2
BR-ADMIEXIHS01,Unscanned-Device,1
BR-ADMIEXIHS01,Unscanned-Device,12
BR-ADMIEXIHS01,Unscanned-Device,1
BR-ADMIEXIHS01,Unscanned-Device,1
BR-ADMIEXIHS01,Unscanned-Device,42
BR-ADMIEXIHS01,Unscanned-Device,1
BR-ADMIEXIHS01,Unscanned-Device,2483
BR-ADMIEXIHS01,Unscanned-Device,1
BR-ADMIEXIHS01,Unscanned-Device,1
BR-ADMIEXIHS01,Unscanned-Device,1
BR-ADMIEXIHS01,Unscanned-Device,552
BR-ADMIEXIHS01,Unscanned-Device,815
BR-ADMIEXIHS01,Unscanned-Device,752
BR-ADMIEXIHS01,Unscanned-Device,18
BR-ADMIEXIHS01,Unscanned-Device,44
BR-ADMIEXIHS01,Unscanned-Device,2
BR-ADMIEXIHS01,Unscanned-Device,2
BR-ADMIEXIHS01,Unscanned-Device,10
BR-ADMIEXIHS01,Unscanned-Device,1
BR-ADMIEXIHS01,Unscanned-Device,4
BR-ADMIEXIHS01,Unscanned-Device,1
BR-ADMIEXIHS01,Unscanned-Device,1
BR-ADMIEXIHS01,Unscanned-Device,1
BR-ADMIEXIHS01,Unscanned-Device,5
BR-ADMIEXIHS01,Unscanned-Device,4
BR-ADMIEXIHS01,Unscanned-Device,1
BR-ADMIEXIHS01,Unscanned-Device,2
BR-ADMIEXIHS01,Unscanned-Device,1
BR-ADMIEXIHS01,Unscanned-Device,14
BR-ADMIEXIHS01,Unscanned-Device,29
BR-ADMIEXIHS01,Unscanned-Device,23
BR-ADMIEXIHS01,Unscanned-Device,2
BR-ADMIEXIHS01,Unscanned-Device,3
BR-ADMIEXIHS01D,Unscanned-Device,2
BR-ADMIEXIHS01D,Unscanned-Device,2
BR-ADMIEXIHS01D,Unscanned-Device,51
BR-ADMIEXIHS01D,Unscanned-Device,56
BR-ADMIEXIHS01D,Unscanned-Device,73
BR-ADMIEXIHS01D,Unscanned-Device,1
BR-ADMIEXIHS01D,Unscanned-Device,6
BR-ADMIEXIHS01D,Unscanned-Device,5
BR-ADMIEXIHS01D,Unscanned-Device,2
BR-ADMIEXIHS01D,Unscanned-Device,3
BR-ADMIEXIHS01D,Unscanned-Device,1
BR-ADMIEXIHS01D,Unscanned-Device,2
BR-ADMIEXIHS01D,Unscanned-Device,579
BR-ADMIEXIHS01D,Unscanned-Device,1
BR-ADMIEXIHS01D,Unscanned-Device,953
BR-ADMIEXIHS01D,Unscanned-Device,1
BR-ADMIEXIHS01D,Unscanned-Device,3
BR-ADMIEXIHS01D,Unscanned-Device,2
BR-ADMIEXIHS01D,Unscanned-Device,9
BR-ADMIEXIHS01D,Unscanned-Device,56
BR-ADMIEXIHS01D,Unscanned-Device,3
BR-ADMIEXIHS01D,Unscanned-Device,48
BR-ADMIEXIHS01D,Unscanned-Device,424
BR-ADMIEXIHS01D,Unscanned-Device,1
BR-ADMIEXIHS01D,Unscanned-Device,5
BR-ADMIEXIHS01D,Unscanned-Device,1
BR-ADMIEXIHS01D,Unscanned-Device,3
BR-ADMIEXIHS01D,Unscanned-Device,3
BR-ADMIEXIHS01D,Unscanned-Device,6
BR-ADMIEXIHS01D,Unscanned-Device,2
BR-ADMIEXIHS01D,Unscanned-Device,3
BR-ADMIEXIHS01D,Unscanned-Device,48
BR-ADMIEXIHS01D,Unscanned-Device,1
BR-ADMIEXIHS01D,Unscanned-Device,4
BR-ADMIEXIHS01D,Unscanned-Device,21
BR-ADMIEXIHS01D,Unscanned-Device,6
BR-ADMIEXIHS01D,Unscanned-Device,1
BR-ADMIEXIHS01P,Unscanned-Device,51
BR-ADMIEXIHS01P,Unscanned-Device,4825
BR-ADMIEXIHS01P,Unscanned-Device,965
BR-ADMIEXIHS01P,Unscanned-Device,21
BR-ADMIEXIHS01P,Unscanned-Device,113
BR-ADMIEXIHS01P,Unscanned-Device,52
BR-ADMIEXIHS01P,Unscanned-Device,65
BR-ADMIEXIHS01P,Unscanned-Device,6
BR-ADMIEXIHS01P,Unscanned-Device,1544
BR-ADMIEXIHS01P,Unscanned-Device,24
BR-ADMIEXIHS01P,Unscanned-Device,414
BR-ADMIEXIHS01P,Unscanned-Device,965
BR-ADMIEXIHS01P,Unscanned-Device,12
BR-ADMIEXIHS01P,Unscanned-Device,77
BR-ADMIEXIHS01P,Unscanned-Device,33
BR-ADMIEXIHS01P,Unscanned-Device,41
BR-ADMIEXIHS01P,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,14
BR-ADMIEXIHS02,Unscanned-Device,876
BR-ADMIEXIHS02,Unscanned-Device,237
BR-ADMIEXIHS02,Unscanned-Device,2
BR-ADMIEXIHS02,Unscanned-Device,3
BR-ADMIEXIHS02,Unscanned-Device,553
BR-ADMIEXIHS02,Unscanned-Device,3
BR-ADMIEXIHS02,Unscanned-Device,67
BR-ADMIEXIHS02,Unscanned-Device,19
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,1072
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,31
BR-ADMIEXIHS02,Unscanned-Device,2
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,164
BR-ADMIEXIHS02,Unscanned-Device,4
BR-ADMIEXIHS02,Unscanned-Device,15
BR-ADMIEXIHS02,Unscanned-Device,18
BR-ADMIEXIHS02,Unscanned-Device,794
BR-ADMIEXIHS02,Unscanned-Device,986
BR-ADMIEXIHS02,Unscanned-Device,42
BR-ADMIEXIHS02,Unscanned-Device,126
BR-ADMIEXIHS02,Unscanned-Device,4
BR-ADMIEXIHS02,Unscanned-Device,108
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,5
BR-ADMIEXIHS02,Unscanned-Device,3
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,3
BR-ADMIEXIHS02,Unscanned-Device,28
BR-ADMIEXIHS02,Unscanned-Device,41
BR-ADMIEXIHS02,Unscanned-Device,8
BR-ADMIEXIHS02,Unscanned-Device,4
BR-ADMIEXIHS02,Unscanned-Device,5
BR-ADMIEXIHS02,Unscanned-Device,4
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,2
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02D,Unscanned-Device,21
BR-ADMIEXIHS02D,Unscanned-Device,1
BR-ADMIEXIHS02D,Unscanned-Device,16
BR-ADMIEXIHS02D,Unscanned-Device,48
BR-ADMIEXIHS02D,Unscanned-Device,3
