groupType,groupName,protocol,initiatingDeviceName,initiatingIpAddress,initiatingPort,serviceName,receivingDeviceName,receivingIpAddress,receivingPort,connectionCount
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,33576,timewait,Unscanned Device,192.168.84.23,1521,478
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,34217,off,Unscanned Device,192.168.85.9,1521,85702
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,35742,on,Unscanned Device,192.168.84.24,1521,9
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,38785,timewait,Unscanned Device,192.168.85.9,1521,14818
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,39199,on,Unscanned Device,192.168.84.135,1521,2
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,39214,off,Unscanned Device,192.168.84.24,1521,6418
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,40119,on,Unscanned Device,192.168.85.9,1521,72
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,40748,timewait,Unscanned Device,192.168.84.136,1521,71
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,41710,off,Unscanned Device,192.168.84.136,1521,5
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,41712,on,Unscanned Device,192.168.84.136,1521,5
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,42373,timewait,Unscanned Device,192.168.84.139,1521,15
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,42528,on,Unscanned Device,192.168.84.23,1521,6
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,42886,timewait,Unscanned Device,192.168.84.24,1521,471
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,43203,timewait,Unscanned Device,192.168.84.135,1521,59
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,43231,timewait,Unscanned Device,192.168.84.137,1521,5
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,44378,timewait,Unscanned Device,192.168.84.138,1521,7
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,45699,off,Unscanned Device,192.168.84.135,1521,9
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,46000,off,Unscanned Device,192.168.84.23,1521,7377
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,off,Unscanned Device,192.168.84.135,1521,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,off,Unscanned Device,192.168.84.136,1521,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,off,Unscanned Device,192.168.84.23,1521,3791
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,off,Unscanned Device,192.168.84.24,1521,3416
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,off,Unscanned Device,192.168.85.9,1521,60397
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,on,Unscanned Device,192.168.84.135,1521,2
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,on,Unscanned Device,192.168.84.136,1521,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,on,Unscanned Device,192.168.84.23,1521,8
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,on,Unscanned Device,192.168.84.24,1521,4
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,on,Unscanned Device,192.168.85.9,1521,166
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,timewait,Unscanned Device,192.168.84.135,1521,42
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,timewait,Unscanned Device,192.168.84.136,1521,46
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,timewait,Unscanned Device,192.168.84.137,1521,3
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,timewait,Unscanned Device,192.168.84.138,1521,8
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,timewait,Unscanned Device,192.168.84.139,1521,15
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,timewait,Unscanned Device,192.168.84.23,1521,350
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,timewait,Unscanned Device,192.168.84.24,1521,351
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01,192.168.83.12,dynamic,timewait,Unscanned Device,192.168.85.9,1521,10609
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01P,192.168.77.212,39796,off,Unscanned Device,192.168.78.210,1521,58218
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01P,192.168.77.212,42362,on,Unscanned Device,192.168.78.210,1521,152
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01P,192.168.77.212,45998,timewait,Unscanned Device,192.168.78.210,1521,11891
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01P,192.168.77.212,dynamic,off,Unscanned Device,192.168.78.210,1521,44583
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01P,192.168.77.212,dynamic,on,Unscanned Device,192.168.78.210,1521,76
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE01P,192.168.77.212,dynamic,timewait,Unscanned Device,192.168.78.210,1521,9376
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXJRE02,192.168.83.13,32883,on,Unscanned Device,192.168.85.9,1521,112
