from,to,weight
BTG,L03331PAPP01,"1,858"
EbMl-env,W03900PMBX0,26
EbMl-env_0000000002,W03900PMBX0,7
EbObol-env,W03900PMBX0,2
EbObol-env_0000000002,W03900PMBX0,2
EbtWeb-env,W03900PMBX0,8
EbtWeb-env_0000000002,W03900PMBX0,9
FW_ZONE_B2,W00571PAPP0,244
FW_ZONE_D2,W00572PAPP0,263
L02427PAPP0,W03900PMBX0,1
L02633PAPP0,L02694PAPP0,2
L02633PAPP0,L02701PAPP0,3
L02633PAPP0,L03074PAPP0,4
L02633PAPP0,L03331PAPP01,2
L02633PAPP0,L03455PAPP0,3
L02633PAPP0,L04014PAPP0,1
L02633PAPP0,L04067PAPP0,1
L02633PAPP0,L04134PAPP0,1
L02633PAPP0,L04160PAPP0,2
L02633PAPP0,L05374PORA0,1
L02633PAPP0,L05528PNOD1,8
L02633PAPP0,L05528PNOD2,6
L02633PAPP0,L05820PAPP0,2
L02633PAPP0,L05918PAPP0,2
L02633PAPP0,L05984PSQL0,1
L02633PAPP0,L05997PORA0,7
L02633PAPP0,L05998PORA0,8
L02633PAPP0,L06023PAPPO,2
L02633PAPP0,L06036PAPP0,3
L02633PAPP0,L06100PAPP0,3
L02633PAPP0,L06284PAPP0,4
L02633PAPP0,L06387PAPP0,40
L02633PAPP0,L06392PAPP0,1
L02633PAPP0,L06514PAPP0,3
L02633PAPP0,NSCL116PNMG,2
L02633PAPP0,NSCL139PAPP,1
L02633PAPP0,NSCL169PFAP,1
L02633PAPP0,W00571PAPP0,1
L02633PAPP0,W00875DFLE0,1
L02633PAPP0,W00928PFLE0,2
L02633PAPP0,W01345PAPP0,1
L02633PAPP0,W01605PAPP0,51
L02633PAPP0,W01608PNOD1,2
L02633PAPP0,W01725UAPP0,1
L02633PAPP0,W02130PAPP0,2
L02633PAPP0,W02283PAPP0,1
L02633PAPP0,W02369PAPP0,1
L02633PAPP0,W02475PAPP0,1
L02633PAPP0,W02476PAPP0,2
L02633PAPP0,W02509PAPP0,1
L02633PAPP0,W02510PAPP1,2
L02633PAPP0,W02763PAPP1,1
L02633PAPP0,W02764PNOD2,5
L02633PAPP0,W02764PNOD3,2
L02633PAPP0,W02824PAPP0,5
L02633PAPP0,W02825PNOD1,5
L02633PAPP0,W02825PNOD2,1
L02633PAPP0,W02894QNOD1,2
L02633PAPP0,W02894QNOD2,8
L02633PAPP0,W02896QAPP0,1
L02633PAPP0,W02952QNOD1,2
L02633PAPP0,W02954QAPP0,2
L02633PAPP0,W02975PAPP0,2
L02633PAPP0,W03014PAPP0,7
L02633PAPP0,W03022PNOD1,6
L02633PAPP0,W03022PNOD2,4
L02633PAPP0,W03060PAPP0,1
L02633PAPP0,W03066UAPP0,1
L02633PAPP0,W03072USQL0,2
L02633PAPP0,W03073PNOD1,7
L02633PAPP0,W03095PNOD1,7
L02633PAPP0,W03095PNOD2,3
L02633PAPP0,W03097PAPP0,187
L02633PAPP0,W03108QAPP0,2
L02633PAPP0,W03110QNOD1,1
L02633PAPP0,W03125DAPP0,1
L02633PAPP0,W03156PNOD1,1
L02633PAPP0,W03156PNOD2,6
L02633PAPP0,W03158PAPP0,243
L02633PAPP0,W03191DNOD2,6
L02633PAPP0,W03328PSQL0,2
L02633PAPP0,W03330DAPP0,5
L02633PAPP0,W03453PNOD1,10
L02633PAPP0,W03453PNOD2,6
L02633PAPP0,W03866QNOD1,14
L02633PAPP0,W03869PNOD1,6
L02633PAPP0,W03869PNOD2,2
L02633PAPP0,W03900PMBX0,54
L02633PAPP0,W04013PSQL0,1
L02633PAPP0,W04158PAPP0,1
L02633PAPP0,W04181PNOD1,11
L02633PAPP0,W04181PNOD2,6
L02633PAPP0,W04197PAPP0,1
L02633PAPP0,W04227QAPP0,1
L02633PAPP0,W04228QSQL0,1
L02633PAPP0,W04238QNOD1,7
L02633PAPP0,W04251QNOD1,1
L02633PAPP0,W04251QNOD2,1
