groupType,groupName,protocol,initiatingDeviceName,initiatingIpAddress,initiatingPort,serviceName,receivingDeviceName,receivingIpAddress,receivingPort,connectionCount
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,32794,,Unscanned Device,52.216.109.59,443,3
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,33018,,Unscanned Device,52.217.234.145,443,111
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,33360,,Unscanned Device,54.231.140.113,443,13
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,33488,,Unscanned Device,54.231.170.193,443,2
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,33550,,Unscanned Device,52.217.67.68,443,1
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,33724,,Unscanned Device,52.217.228.201,443,2
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,33766,,Unscanned Device,52.216.89.228,443,11
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,34086,,Unscanned Device,52.216.44.17,443,5
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,34126,,Unscanned Device,52.216.177.67,443,2
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,34136,,Unscanned Device,3.5.25.156,443,3
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,34254,,Unscanned Device,52.217.81.180,443,21
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,34298,,Unscanned Device,52.217.116.201,443,73
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,34338,,Unscanned Device,3.5.11.145,443,2
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,34478,,Unscanned Device,3.5.10.1,443,1
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,34596,,Unscanned Device,52.216.53.9,443,13
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,34918,,Unscanned Device,52.216.221.121,443,2
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,35050,,Unscanned Device,52.216.179.179,443,2
Assessment,BTG_Produccion,TCP,BTG,10.56.122.91,35096,,Unscanned Device,3.5.8.133,443,3
