groupType,groupName,protocol,initiatingDeviceName,initiatingIpAddress,initiatingPort,serviceName,receivingDeviceName,receivingIpAddress,receivingPort,connectionCount
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,32948,off,L05528PNOD1,10.56.122.251,1521,1
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,33562,timewait,L05528PNOD2,10.56.122.247,1521,1
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,34050,timewait,L05528PNOD1,10.56.122.251,1521,6
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,36552,off,L05528PNOD1,10.56.122.246,1521,1
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,37160,sqlservr.exe,W02764PNOD2,10.56.119.248,1433,1
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,37616,off,L05528PNOD2,10.56.122.247,1521,1
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,40286,on,L05528PNOD1,10.56.122.246,1521,3
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,41980,sqlservr.exe,W05686PNOD1,10.56.122.193,1433,1
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,42318,keepalive,L05528PNOD2,10.56.122.247,1521,2
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,42432,timewait,L05528PNOD2,10.56.122.250,1521,77
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,42766,timewait,L05528PNOD1,10.56.122.246,1521,2
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,43174,off,L05528PNOD1,10.56.122.249,1521,1
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,44078,on,L05528PNOD2,10.56.122.247,1521,1
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,45972,keepalive,L05528PNOD1,10.56.122.246,1521,8
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,46958,timewait,L05528PNOD1,10.56.122.249,1521,5
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,47552,off,L05528PNOD2,10.56.122.250,1521,1
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,dynamic,keepalive,L05528PNOD1,10.56.122.246,1521,4
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,dynamic,keepalive,L05528PNOD2,10.56.122.247,1521,1
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,dynamic,off,L05528PNOD1,10.56.122.246,1521,1
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,dynamic,off,L05528PNOD1,10.56.122.249,1521,3
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,dynamic,on,L05528PNOD1,10.56.122.246,1521,1
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,dynamic,on,L05528PNOD1,10.56.122.249,1521,1
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,dynamic,sqlservr.exe,W02764PNOD2,10.56.119.248,1433,1
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,dynamic,sqlservr.exe,W05686PNOD1,10.56.122.193,1433,3
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,dynamic,timewait,L05528PNOD1,10.56.122.246,1521,6
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,dynamic,timewait,L05528PNOD1,10.56.122.249,1521,2
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,dynamic,timewait,L05528PNOD1,10.56.122.251,1521,5
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,dynamic,timewait,L05528PNOD2,10.56.122.247,1521,2
Assessment,BTG_Produccion,TCP,L02694PAPP0,10.56.119.62,dynamic,timewait,L05528PNOD2,10.56.122.250,1521,6
