groupType,groupName,protocol,initiatingDeviceName,initiatingIpAddress,initiatingPort,serviceName,receivingDeviceName,receivingIpAddress,receivingPort,connectionCount
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,32796,on,Unscanned Device,10.216.24.88,389,1
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,32876,on,Unscanned Device,10.0.47.196,443,1
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,32938,timewait,Unscanned Device,10.206.3.23,1537,1
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,32964,timewait,Unscanned Device,10.0.77.97,443,17
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,32978,off,Unscanned Device,10.0.77.97,443,3
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,32980,on,Unscanned Device,10.205.30.217,8089,1
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,32986,timewait,Unscanned Device,10.41.114.4,1080,15
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,33006,off,Unscanned Device,10.205.3.22,25,178
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,33078,timewait,Unscanned Device,10.206.5.67,1537,1
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,33094,timewait,Unscanned Device,10.206.2.134,1537,1
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,33136,off,Unscanned Device,10.204.4.55,9999,2123
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,33172,on,Unscanned Device,10.206.4.37,6200,1
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,33184,timewait,Unscanned Device,10.61.2.166,443,5
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,33232,on,Unscanned Device,10.41.31.6,443,837
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,33378,on,Unscanned Device,10.0.116.198,443,1
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,33388,off,Unscanned Device,10.0.47.196,443,1
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,33552,probe,Unscanned Device,10.203.4.182,443,1
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,33686,on,Unscanned Device,10.203.4.182,443,2
Assessment,assessment-optimus,TCP,ARLWLSAPPP01,10.203.20.225,33732,on,Unscanned Device,10.203.15.30,443,2
